Country,AirQuality,WaterPollution,PM25,COPD,HeartDisease,LungCancer,WaterQuality
Afghanistan,37.213693957115005,53.44065656565656,68.038,9.47,83.95,1.54,46.55934343434344
Albania,51.873624862486245,57.83420138888889,16.322,1.99,33.62,1.63,42.16579861111111
Algeria,57.60746606334842,50.62304333498105,22.68,1.91,32.8,1.11,49.37695666501895
Angola,15.000000000000002,81.25,28.889999999999997,4.08,22.19,0.41,18.75
Argentina,68.1477808065375,54.276152351436444,11.831999999999999,3.29,13.04,0.95,45.723847648563556
Armenia,22.270114942528735,45.0,34.056,3.34,47.91,3.62,55.0
Australia,80.59801309511182,31.981841465512417,8.852,1.1,5.91,0.69,68.01815853448758
Austria,83.49095549412834,37.73380081237871,11.768,1.59,12.05,1.17,62.26619918762129
Azerbaijan,29.89690721649485,69.0217391304348,25.130000000000003,3.23,83.51,1.43,30.978260869565204
Bahrain,32.65669515669516,62.46639784946237,52.622,6.62,41.94,2.73,37.53360215053763
Bangladesh,37.1415231579775,59.124719141842434,44.682,9.38,24.83,1.85,40.875280858157566
Barbados,88.33333333333333,46.666666666666664,9.696,0.87,9.17,0.34,53.333333333333336
Belarus,50.50683444047011,42.495535714285715,15.652000000000001,1.37,53.91,1.32,57.504464285714285
Belgium,67.7302612097255,48.907793552203486,11.224,1.86,8.06,1.43,51.092206447796514
Belize,78.125,70.48611111111111,10.469999999999999,1.41,11.46,0.52,29.513888888888886
Benin,25.0,100.0,31.594,4.52,26.55,0.15,0.0
Bhutan,59.82142857142857,55.0,21.59,14.26,26.64,0.89,45.0
Bosnia and Herzegovina,57.29664627559012,45.74810606060606,28.119999999999997,2.72,30.03,3.93,54.25189393939394
Botswana,64.80263157894737,56.25,13.686000000000002,3.94,23.41,0.19,43.75
Brazil,63.2918757844929,52.74759472113165,10.722,2.06,11.14,0.63,47.25240527886835
Bulgaria,43.882158751439796,42.77574338755796,17.898,2.84,42.21,1.89,57.22425661244204
Burundi,25.0,87.5,27.942,6.35,23.67,0.23,12.5
Cambodia,56.70508274231678,67.03282828282828,18.136000000000003,4.41,21.72,1.3,32.96717171717172
Cameroon,28.8125,72.13203463203463,58.77,6.38,32.88,0.57,27.86796536796537
Canada,84.29374371605218,32.55167426605191,6.264,0.74,5.5,0.54,67.44832573394808
Central African Republic,0.0,100.0,29.227999999999998,8.27,33.31,0.27,0.0
Chad,68.05555555555556,26.38888888888889,47.513999999999996,5.97,29.09,0.28,73.61111111111111
Chile,35.9866379385112,48.01879503135133,20.734,1.86,7.9,1.2,51.98120496864867
Colombia,59.76201450564133,53.53458612063246,14.3,2.96,14.12,0.62,46.46541387936754
Costa Rica,66.8786196911197,35.807291666666664,14.663999999999998,1.74,7.85,0.38,64.19270833333334
Cote d'Ivoire,6.944444444444442,79.41176470588236,42.626,5.19,30.37,0.45,20.588235294117638
Croatia,76.91073839138485,24.54434948530152,15.38,1.99,19.85,2.27,75.45565051469848
Cuba,15.555555555555552,75.0,14.336000000000002,2.37,17.02,1.73,25.0
Cyprus,62.93468045112782,39.12037037037037,14.766,1.7,10.03,1.12,60.87962962962963
Djibouti,54.16666666666666,54.16666666666666,20.034,2.87,24.22,0.25,45.83333333333334
Dominican Republic,30.929357592093442,63.76066936208446,7.536,0.75,19.27,0.35,36.23933063791554
Ecuador,57.43304465272429,62.595525389643036,16.619999999999997,1.82,11.62,0.51,37.404474610356964
Egypt,46.00219521992863,63.0091841029341,59.936,5.38,75.2,1.78,36.9908158970659
El Salvador,18.42105263157895,76.5625,22.136000000000003,2.93,17.75,0.44,23.4375
Equatorial Guinea,31.666666666666668,53.333333333333336,26.663999999999998,4.47,20.8,0.55,46.666666666666664
Eritrea,100.0,25.0,23.488,5.16,24.79,0.32,75.0
Estonia,94.19079597651026,28.313349462748167,6.398000000000001,0.3,9.73,0.45,71.68665053725184
Eswatini,93.75,52.083333333333336,15.568000000000001,5.33,25.79,0.2,47.916666666666664
Ethiopia,52.42424242424243,64.84848484848486,22.268,3.62,16.37,0.4,35.15151515151514
Fiji,41.160714285714285,78.97321428571428,7.7175,1.26,27.67,0.17,21.026785714285722
Finland,95.77138622247318,19.231145327736236,5.8340000000000005,0.28,5.78,0.22,80.76885467226376
France,72.38194898991327,34.768501002616894,10.620000000000001,0.77,5.39,1.26,65.23149899738311
Gabon,37.5,87.5,29.088,3.38,21.99,0.87,12.5
Georgia,48.05527553763441,54.60597826086956,19.428,2.04,43.14,1.58,45.39402173913044
Germany,83.76850168578189,33.49547387636036,10.814,1.54,9.44,1.17,66.50452612363964
Ghana,50.18518518518519,69.15204678362572,47.007999999999996,5.74,30.61,0.3,30.84795321637428
Greece,76.59028502645774,33.77984031683302,14.686000000000002,1.55,12.29,2.09,66.22015968316698
Grenada,57.22222222222222,52.77777777777778,10.09,0.89,18.56,0.48,47.22222222222222
Guatemala,33.53174603174603,66.03422619047619,21.096,2.32,18.14,0.33,33.96577380952381
Guinea,4.999999999999999,93.75,38.898,5.8,30.21,0.32,6.25
Guyana,62.938596491228076,65.27777777777777,11.28,2.17,31.55,0.25,34.72222222222223
Haiti,12.5,68.75,9.658,2.42,27.97,0.27,31.25
Honduras,37.73809523809524,76.26373626373626,19.154,6.51,26.97,0.52,23.736263736263737
Hungary,69.9385210984338,31.924382716049383,14.528,3.28,29.49,2.86,68.07561728395062
Iceland,78.79830917874396,35.29040404040404,6.034000000000001,0.66,5.81,0.33,64.70959595959596
India,44.122723331726725,62.491711724030836,50.870000000000005,20.42,37.23,1.49,37.508288275969164
Indonesia,65.99758251278945,30.449822299706668,19.35,5.24,25.13,1.09,69.55017770029333
Iraq,20.18939393939394,72.53787878787878,40.524,1.72,56.41,1.88,27.462121212121218
Ireland,82.84391861158166,34.47985645281505,8.347999999999999,1.38,8.0,0.78,65.52014354718494
Israel,33.384693543463705,45.4009119905859,19.218,1.55,7.71,1.58,54.5990880094141
