Country,PM25
Kenya,10.01
Trinidad and Tobago,10.02
United Kingdom of Great Britain and Northern Ireland,10.06
Grenada,10.08
Brazil,10.09
Denmark,10.12
Russian Federation,10.19
Spain,10.19
Grenada,10.22
Grenada,10.22
Trinidad and Tobago,10.26
France,10.27
Guyana,10.33
Austria,10.34
Lithuania,10.37
Haiti,10.38
Trinidad and Tobago,10.39
Trinidad and Tobago,10.39
Trinidad and Tobago,10.4
Belize,10.44
Belize,10.44
Belize,10.45
France,10.46
Mauritius,10.48
Mauritius,10.48
Netherlands (Kingdom of the),10.5
Belize,10.51
Belize,10.51
Japan,10.51
Mauritius,10.53
Germany,10.55
Denmark,10.7
Germany,10.73
Netherlands (Kingdom of the),10.74
Namibia,10.81
Japan,10.84
Cuba,10.86
Netherlands (Kingdom of the),10.88
Suriname,10.89
Brazil,10.94
Argentina,11.07
Belgium,11.08
Japan,11.1
Guyana,11.11
Mauritius,11.13
Netherlands (Kingdom of the),11.15
Germany,11.15
Argentina,11.23
Austria,11.24
Guyana,11.25
Belgium,11.26
Brazil,11.26
Japan,11.32
France,11.34
Paraguay,11.46
Austria,11.51
Lithuania,11.52
Latvia,11.55
Belgium,11.57
Panama,11.6
Lithuania,11.67
Guyana,11.7
Brazil,11.75
Panama,11.78
Namibia,11.81
Lithuania,11.83
Panama,11.85
Panama,11.89
Germany,11.92
Argentina,11.97
Guyana,12.01
Latvia,12.02
France,12.03
Argentina,12.04
Panama,12.05
Republic of Moldova,12.06
Ukraine,12.15
Suriname,12.17
Malta,12.21
Romania,12.23
Italy,12.26
Republic of Moldova,12.29
Belgium,12.3
Paraguay,12.31
Kenya,12.33
Zimbabwe,12.34
Namibia,12.34
Maldives,12.34
Republic of Moldova,12.37
Austria,12.42
Paraguay,12.49
Botswana,12.51
Kenya,12.52
Kenya,12.68
Maldives,12.69
Greece,12.7
Republic of Moldova,12.74
Suriname,12.78
Morocco,12.8
Botswana,12.82
Argentina,12.85
Malta,12.93
Cuba,12.93
Malta,12.94
Maldives,13.0
Cyprus,13.01
Suriname,13.03
Zimbabwe,13.07
Malta,13.08
Zimbabwe,13.08
Ukraine,13.12
Namibia,13.13
Colombia,13.14
Morocco,13.2
Suriname,13.21
Paraguay,13.23
Colombia,13.26
Romania,13.3
Cuba,13.32
Singapore,13.33
Singapore,13.33
Singapore,13.33
Austria,13.33
Belarus,13.41
Morocco,13.44
Slovenia,13.44
Hungary,13.45
Paraguay,13.5
Ukraine,13.51
Somalia,13.53
Czechia,13.56
Republic of Moldova,13.63
Romania,13.71
Morocco,13.73
Jamaica,13.75
Maldives,13.79
Costa Rica,13.87
Maldives,13.88
Botswana,13.9
Morocco,13.92
Jamaica,13.99
Italy,14.01
Comoros,14.02
Colombia,14.04
Namibia,14.04
Hungary,14.05
Slovenia,14.07
Slovenia,14.08
Romania,14.11
Latvia,14.13
South Africa,14.21
Italy,14.22
Costa Rica,14.23
Hungary,14.24
Somalia,14.26
Somalia,14.28
Czechia,14.34
Kenya,14.34
Greece,14.37
Comoros,14.37
Comoros,14.38
Somalia,14.41
Botswana,14.42
